cabre, orig: cabre
cabre, orig: cabré
cabri, orig: cabri
cabus, orig: cabus
cacao, orig: cacao
cacas, orig: cacas
cacha, orig: cacha
cache, orig: cache
cache, orig: caché
caddy, orig: caddy
cades, orig: cades
cadet, orig: cadet
cadis, orig: cadis
cadra, orig: cadra
cadre, orig: cadre
cadre, orig: cadré
caduc, orig: caduc
cafes, orig: cafés
cafre, orig: cafre
cafta, orig: cafta
cafte, orig: cafte
cafte, orig: cafté
cages, orig: cages
caget, orig: caget
cagna, orig: cagna
cagne, orig: cagne
cagne, orig: cagné
cagot, orig: cagot
cahot, orig: cahot
caids, orig: caïds
caieu, orig: caïeu
cairn, orig: cairn
cajou, orig: cajou
cajun, orig: cajun
cakes, orig: cakes
calai, orig: calai
calao, orig: calao
calas, orig: calas
calat, orig: calât
calee, orig: calée
caler, orig: caler
cales, orig: cales
cales, orig: calés
calez, orig: calez
calfs, orig: calfs
calin, orig: câlin
calma, orig: calma
calme, orig: calme
calme, orig: calmé
calmi, orig: calmi
calos, orig: calos
calot, orig: calot
calta, orig: calta
calte, orig: calte
calte, orig: calté
calva, orig: calva
camee, orig: camée
cames, orig: cames
campa, orig: campa
campe, orig: campe
campe, orig: campé
camps, orig: camps
camus, orig: camus
canai, orig: canai
canal, orig: canal
canas, orig: canas
canat, orig: canât
candi, orig: candi
caner, orig: caner
canes, orig: canes
canez, orig: canez
canif, orig: canif
canin, orig: canin
canna, orig: canna
canne, orig: canne
canne, orig: canné
canoe, orig: canoë
canon, orig: canon
canot, orig: canot
canut, orig: canut
caoua, orig: caoua
capea, orig: capéa
capee, orig: capée
capee, orig: capéé
capes, orig: capes
capon, orig: capon
capot, orig: capot
cappa, orig: cappa
capre, orig: câpre
capta, orig: capta
capte, orig: capte
capte, orig: capté
caqua, orig: caqua
caque, orig: caque
caque, orig: caqué
carat, orig: carat
carda, orig: carda
carde, orig: carde
carde, orig: cardé
carex, orig: carex
cargo, orig: cargo
caria, orig: caria
carie, orig: carie
carie, orig: carié
caris, orig: caris
carma, orig: carma
carme, orig: carme
carme, orig: carmé
carne, orig: carne
carne, orig: carné
carpe, orig: carpe
carra, orig: carra
carre, orig: carre
carre, orig: carré
carry, orig: carry
carte, orig: carte
casai, orig: casai
casas, orig: casas
casat, orig: casât
casee, orig: casée
caser, orig: caser
cases, orig: cases
cases, orig: casés
casez, orig: casez
cassa, orig: cassa
casse, orig: casse
casse, orig: cassé
caste, orig: caste
catch, orig: catch
catin, orig: catin
catis, orig: catis
cauri, orig: cauri
causa, orig: causa
cause, orig: cause
cause, orig: causé
cavai, orig: cavai
cavas, orig: cavas
cavat, orig: cavât
cavee, orig: cavée
caver, orig: caver
caves, orig: caves
caves, orig: cavés
cavet, orig: cavet
cavez, orig: cavez
ceans, orig: céans
cedai, orig: cédai
cedas, orig: cédas
cedat, orig: cédât
cedee, orig: cédée
ceder, orig: céder
cedes, orig: cédés
cedes, orig: cèdes
cedex, orig: cedex
cedez, orig: cédez
cedre, orig: cèdre
ceins, orig: ceins
ceint, orig: ceint
celai, orig: celai
celas, orig: celas
celat, orig: celât
celee, orig: celée
celer, orig: celer
celes, orig: celés
celes, orig: cèles
celez, orig: celez
cella, orig: cella
celle, orig: celle
celte, orig: celte
celui, orig: celui
cenes, orig: cènes
cense, orig: censé
cents, orig: cents
cepes, orig: cèpes
cerat, orig: cérat
cerce, orig: cerce
cerfs, orig: cerfs
cerna, orig: cerna
cerne, orig: cerne
cerne, orig: cerné
cesar, orig: césar
cessa, orig: cessa
cesse, orig: cesse
cesse, orig: cessé
ceste, orig: ceste
cette, orig: cette
chahs, orig: chahs
chair, orig: chair
chais, orig: chais
chale, orig: châle
champ, orig: champ
chant, orig: chant
chaos, orig: chaos
chape, orig: chape
chape, orig: chapé
chars, orig: chars
chats, orig: chats
chaud, orig: chaud
chaut, orig: chaut
chaux, orig: chaux
chefs, orig: chefs
cheik, orig: cheik
chene, orig: chêne
chenu, orig: chenu
chera, orig: chéra
chere, orig: chére
chere, orig: chéré
chere, orig: chère
cheri, orig: chéri
chers, orig: chers
chiai, orig: chiai
chias, orig: chias
chiat, orig: chiât
chics, orig: chics
chiee, orig: chiée
chien, orig: chien
chier, orig: chier
chies, orig: chies
chies, orig: chiés
chiez, orig: chiez
china, orig: china
chine, orig: chine
chine, orig: chiné
chiot, orig: chiot
chipa, orig: chipa
chipe, orig: chipe
chipe, orig: chipé
chips, orig: chips
chocs, orig: chocs
choie, orig: choie
choir, orig: choir
chois, orig: chois
choit, orig: choit
choix, orig: choix
choma, orig: chôma
chome, orig: chôme
chome, orig: chômé
chopa, orig: chopa
chope, orig: chope
chope, orig: chopé
chose, orig: chose
chott, orig: chott
choux, orig: choux
choya, orig: choya
choye, orig: choyé
chues, orig: chues
chuta, orig: chuta
chute, orig: chute
chute, orig: chuté
chyle, orig: chyle
chyme, orig: chyme
cible, orig: cible
cidre, orig: cidre
ciels, orig: ciels
cieux, orig: cieux
cigue, orig: ciguë
cilie, orig: cilié
cilla, orig: cilla
cille, orig: cille
cille, orig: cillé
cimes, orig: cimes
cines, orig: cinés
cippe, orig: cippe
cirai, orig: cirai
ciras, orig: ciras
cirat, orig: cirât
ciree, orig: cirée
cirer, orig: cirer
cires, orig: cires
cires, orig: cirés
cirez, orig: cirez
ciron, orig: ciron
cirre, orig: cirre
ciste, orig: ciste
citai, orig: citai
citas, orig: citas
citat, orig: citât
citee, orig: citée
citer, orig: citer
cites, orig: cites
cites, orig: cités
citez, orig: citez
civet, orig: civet
civil, orig: civil
clade, orig: clade
claie, orig: claie
clair, orig: clair
clama, orig: clama
clame, orig: clame
clame, orig: clamé
clamp, orig: clamp
clams, orig: clams
clans, orig: clans
clapa, orig: clapa
clape, orig: clape
clape, orig: clapé
clapi, orig: clapi
clava, orig: clava
clave, orig: clave
clave, orig: clavé
clebs, orig: clebs
clefs, orig: clefs
clerc, orig: clerc
clics, orig: clics
clins, orig: clins
clips, orig: clips
cliva, orig: cliva
clive, orig: clive
clive, orig: clivé
clodo, orig: clodo
clone, orig: clone
clope, orig: clope
clora, orig: clora
clore, orig: clore
close, orig: close
cloua, orig: cloua
cloue, orig: cloue
cloue, orig: cloué
clous, orig: clous
clown, orig: clown
clubs, orig: clubs
cluse, orig: cluse
coach, orig: coach
coati, orig: coati
cobea, orig: cobéa
cobol, orig: cobol
cobra, orig: cobra
cocas, orig: cocas
cocha, orig: cocha
cocha, orig: côcha
coche, orig: coche
coche, orig: coché
coche, orig: côche
coche, orig: côché
cocon, orig: cocon
cocos, orig: cocos
cocus, orig: cocus
codai, orig: codai
